job_title,company,location,source,url,description,date_extracted
Senior Machine Learning Engineer - Ai Teams (X/F/M),DOCTOLIB,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/senior-machine-learning-engineer-ai-teams-x-f-m-at-doctolib-4286677786?position=22&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=qM2d9istpl6qqsitP0QduQ%3D%3D,,2026-03-29 22:01:04
Data Scientist,UNEDIC,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-at-unedic-4378847489?position=23&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=qRmPxo5V%2FvmneZ3yZM9TiQ%3D%3D,,2026-03-29 22:01:04
Ai Scientist - Paris/London - Onsite Or Hybrid Or Remote,MISTRAL AI,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/ai-scientist-paris-london-onsite-or-hybrid-or-remote-at-mistral-ai-4300121809?position=24&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=9a4%2BCq23E2BXtjRKeKIqFg%3D%3D,,2026-03-29 22:01:04
Data Scientist (Python Sql) - Freelance Ai Trainer,MINDRIFT,France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-python-sql-freelance-ai-trainer-at-mindrift-4389488103?position=25&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=VIi9OoAcIc%2BFk1gob3hMlg%3D%3D,,2026-03-29 22:01:04
Data Scientist / Ai Engineer,MP DATA,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-ai-engineer-at-mp-data-4378923610?position=26&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=881BnCYYlwmLOZyXZixe1w%3D%3D,,2026-03-29 22:01:04
Data Scientist (H/F),ALEYSIA,Greater Grenoble Metropolitan Area,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-h-f-at-aleysia-4385205245?position=27&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=Uj5X%2BYbVfKQu7LB9ud4p3A%3D%3D,,2026-03-29 22:01:04
Data Scientist Senior,OKARA,Villeneuve-dAscq Hauts-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-senior-at-okara-4389074284?position=28&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=DgAHOcm4oO%2FFjOjd957pyw%3D%3D,,2026-03-29 22:01:04
Data Scientist Gen Ai (H/F),MERITIS,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-gen-ai-h-f-at-meritis-4383101588?position=29&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=uxSSqToZFXChVaL5BWCMCA%3D%3D,,2026-03-29 22:01:04
Data Scientist,BIZZDESIGN,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-at-bizzdesign-4353564646?position=30&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=nMWzeMvLPq5p3P3URm0W2w%3D%3D,,2026-03-29 22:01:04
Data Scientist H/F,CRÉDIT AGRICOLE PERSONAL FINANCE MOBILITY,Massy Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-h-f-at-cr%C3%A9dit-agricole-personal-finance-mobility-4386675259?position=32&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=nMD%2BJlKtxIccY5OCqDzzVw%3D%3D,,2026-03-29 22:01:04
Freelance Data Scientist - Ai Marketplace Platform,MIRAKL,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/freelance-data-scientist-ai-marketplace-platform-at-mirakl-4329025958?position=33&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=ABZw1oI1Z37IMetHALO3wQ%3D%3D,,2026-03-29 22:01:04
Ai Research Scientist (Paris),LEXSI LABS,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/ai-research-scientist-paris-at-lexsi-labs-4390202760?position=34&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=LVOzWv3kfkum3thVBDKXWw%3D%3D,,2026-03-29 22:01:04
Ai Research Scientist,META,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/ai-research-scientist-at-meta-4374841564?position=35&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=MkuqNXbnJUhxFNhFsjj7SQ%3D%3D,,2026-03-29 22:01:04
Data Scientist Junior,ALTEN,Boulogne-Billancourt Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-junior-at-alten-4389498164?position=36&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=LD5MgQYJkP6Esnk4rRM5DQ%3D%3D,,2026-03-29 22:01:04
Data Scientist,ABEILLE ASSURANCES,Bois-Colombes Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-at-abeille-assurances-4387680609?position=37&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=vfxor0rpXU0fIq55ORPe9g%3D%3D,,2026-03-29 22:01:04
Data Scientist - Ai Marketplace Platform,MIRAKL,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-ai-marketplace-platform-at-mirakl-4352588855?position=38&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=j2ByzvY6OY9A8MKEKYqqIw%3D%3D,,2026-03-29 22:01:04
Machine Learning Researcher / Engineer (Foundational Models),PATHWAY,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/machine-learning-researcher-engineer-foundational-models-at-pathway-4336069503?position=39&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=B7SLM9L31L5zg2PFg5Ehgw%3D%3D,,2026-03-29 22:01:04
Senior Data Scientist Competitive Intelligence Clinical Operations (Llms Ai),PIERRE FABRE LABORATORIES,Toulouse Occitanie France,linkedin,https://fr.linkedin.com/jobs/view/senior-data-scientist-%E2%80%93-competitive-intelligence-clinical-operations-llms-ai-at-pierre-fabre-laboratories-4388960909?position=40&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=Ysk%2B5V2roHX1aNWSktguWA%3D%3D,,2026-03-29 22:01:04
Ai / Machine Learning Research Intern (X/F/M),DOCTOLIB,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/ai-machine-learning-research-intern-x-f-m-at-doctolib-4378009214?position=41&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=TT8%2BrtGTJfhpfGIqaMcrrA%3D%3D,,2026-03-29 22:01:04
Software Engineer - Surgical Robotics,ROBEAUTÉ,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/software-engineer-surgical-robotics-at-robeaut%C3%A9-4389067490?position=42&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=N3bAhJlSJTYce%2BPYZYryUA%3D%3D,,2026-03-29 22:01:04
Data Scientist Mlops (H/F),AKKODIS,Courbevoie Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-mlops-h-f-at-akkodis-4389059850?position=44&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=hN%2FMPCeS9V5%2BI3C39qvTYA%3D%3D,,2026-03-29 22:01:04
Machine Learning/Ml Engineer,WINSIDE TECHNOLOGY,Lille Hauts-de-France France,linkedin,https://fr.linkedin.com/jobs/view/machine-learning-ml-engineer-at-winside-technology-4380464636?position=45&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=%2BzS4LxjtTpZOns%2Fv0xP3CQ%3D%3D,,2026-03-29 22:01:04
Data Scientist Senior / Ml Engineer H/F,OVENTI CONSULTING,Greater Paris Metropolitan Region,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-senior-ml-engineer-h-f-at-oventi-consulting-4381429742?position=47&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=h3x7ksFB3Xngd4GGpH1mYg%3D%3D,,2026-03-29 22:01:04
Senior Ai Data Scientist,MLABS,France,linkedin,https://fr.linkedin.com/jobs/view/senior-ai-data-scientist-at-mlabs-4391576180?position=48&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=3mMNkdlBjTi1%2BrAotTFsnw%3D%3D,,2026-03-29 22:01:04
Machine Learning Engineer,WHIZE,Neuilly-sur-Seine Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/machine-learning-engineer-at-whize-4390973707?position=49&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=y8YozFwQB3FyGkTb%2BuxdZw%3D%3D,,2026-03-29 22:01:04
Qa Engineer,INGELINE TECHNOLOGIES,Greater Lille Metropolitan Area,linkedin,https://fr.linkedin.com/jobs/view/qa-engineer-at-ingeline-technologies-4389067946?position=50&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=UELkzJSalIgpRW1zPzTd1w%3D%3D,,2026-03-29 22:01:04
Project Lead Data Scientist,OECD - OCDE,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/project-lead-data-scientist-at-oecd-ocde-4389324024?position=51&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=KyVu79kqvoWI1cCzHVXaxQ%3D%3D,,2026-03-29 22:01:04
Data Scientist (F/M),SARTORIUS,France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-f-m-at-sartorius-4389084088?position=52&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=ZtgIoob7YyBMOPavvsPIyQ%3D%3D,,2026-03-29 22:01:04
Manager Data Scientist - Macroeconomic Modeling,QUANTCUBE TECHNOLOGY,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/manager-data-scientist-macroeconomic-modeling-at-quantcube-technology-4388914200?position=54&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=67AO%2Fm1DKDGnfZcj1iX5sQ%3D%3D,,2026-03-29 22:01:04
Data Scientist,ASTRELYA,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-at-astrelya-4386747200?position=55&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=Ca1Mpq%2Ba35915N4vu8ZBqQ%3D%3D,,2026-03-29 22:01:04
Machine Learning Engineer Open-Source Software - Paris/London,MISTRAL AI,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/machine-learning-engineer-open-source-software-paris-london-at-mistral-ai-4315338919?position=56&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=XsN6gGEgPFTLFdpm6sEMTw%3D%3D,,2026-03-29 22:01:04
Data Scientist (H/F),EXTIA,Charleville-Mézières Grand Est France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-h-f-at-extia-4363041816?position=57&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=Thks9ye75fC%2FW99woS6C5Q%3D%3D,,2026-03-29 22:01:04
Senior Machine Learning Engineer,MALT,Lacaussade Nouvelle-Aquitaine France,linkedin,https://fr.linkedin.com/jobs/view/senior-machine-learning-engineer-at-malt-4387942349?position=58&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=9l%2B4FAAuvL6x4LeRatTIhA%3D%3D,,2026-03-29 22:01:04
Rd Ai Software Engineer / End-To-End Machine Learning Engineer / Rag And Llm,PATHWAY,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/r-d-ai-software-engineer-end-to-end-machine-learning-engineer-rag-and-llm-at-pathway-4336070259?position=60&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=anaPyPukAkh6ciJaksXALw%3D%3D,,2026-03-29 22:01:04
Data Scientist / Ml Engineer Casablanca (Maroc),COFACE,Non spécifié,rekrute,https://www.rekrute.com/coface-emploi-recrutement-316899.html,,2026-03-29 22:01:04
Senior Data Scientist Casablanca (Maroc),LEYTON,Non spécifié,rekrute,https://www.rekrute.com/leyton-emploi-recrutement-9308.html,,2026-03-29 22:01:04
Scientist Benguerir (Maroc),UM6P - UNIVERSITÉ MOHAMMED VI POLYTECHNIQUE,Non spécifié,rekrute,https://www.rekrute.com/um6p---universite-mohammed-vi-polytechnique-emploi-recrutement-323411.html,,2026-03-29 22:01:04
Data Scientist / Ingénieur Ia Casablanca (Maroc),CAC (CENTRALE AUTOMOBILE CHÉRIFIENNE),Non spécifié,rekrute,https://www.rekrute.com/cac-centrale-automobile-cherifienne-emploi-recrutement-2667.html,,2026-03-29 22:01:04
Data Scientist Sénior Sql/Python Rabat (Maroc),ALTEN MAROC,Non spécifié,rekrute,https://www.rekrute.com/alten-maroc-emploi-recrutement-108707.html,,2026-03-29 22:01:04
Data Scientist Rabat (Maroc),ALTEN MAROC,Non spécifié,rekrute,https://www.rekrute.com/alten-maroc-emploi-recrutement-108707.html,,2026-03-29 22:01:04
